唯一ID,首次获取时间,最后更新时间,信息类型,公司名称,招聘标题,岗位,发布时间,招聘日期,工作地点,宣讲日期,宣讲开始时间,宣讲结束时间,宣讲地点,学历要求,专业要求,网申截止时间,投递方式,投递链接,详情链接,链接状态,来源页面,备注
3ca572f5cb9d558dadfd356a12e54f211d86bd98ef2dcbffc80806acfb33161a,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师(ZT一部),2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
19faedd6e351b99d7502a652c754d6fba1be67220127fbc157c958dfae77c781,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师(ZT二部),2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
e0c5b60e9a3e6ffffe46b5f5fb37d4858ede21f2ab389faeb22e852ac9fd85d3,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师(ZT四部),2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
62c3b8e1e984efa30f20b80297e78087ac8bc623f0e9dd91061578a6bd7c7864,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师(ZT五部),2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
fd8fa0d2993fc83e79299f8bf02a42fd231c0bfb6d500379964a37a662fa2e79,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师(低空专班),2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
c19be9379f76eeade91dee5b041bc01d1837f337fda044c0c1b4200430940f6d,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师(雷达探测感知全国重点实验室),2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
734078098cdbe280d4549e45d8723844e4cfc08f1d5865369cc0d953615e26db,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,体系效能仿真分析设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
f824b011c630ffdbf58070e820bbf7de8d9c5ef09e5cd4ecc34d37ec33d21fec,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,信号处理算法设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
465899b2d38f4e0c2cc86472cc8b86b03a5e225b065c53bc1ff1a752fc7c23fd,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,人工智能算法设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
1b3d3260321943b348b9d3a790a3b02c9c3eb259d66d22355c307b327d7f7c1d,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,系统设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
1e21ef0e73d603c31a1743db13d55ef51b9ca8e228497efe6126b8adf194c95a,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,电源设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
d33592401e73d34e383b636d4f2279810ac30b85cdc089bfc431c7b3d8096617,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,FPGA系统设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
582fd743b0699cfbf3f31789ab2d919f6ff21acd158a8e7658788e0c9bcb7672,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,FPGA研发工程师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
203cad7b19f2e7bf215b36a96f9f9bda6be93b6b434e1b5f764fca97f24119bf,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,数据处理算法设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
0ad214e3177c707dc1d102515c1ebbb7b77360734568676417b1e371c543bb26,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,B/S架构设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
a6c7c98538f2e6f915629df7f985ab23bf3456d921420a5e0a8c1c208b885f23,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,FPGA软件测试设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
b5fcbd005d78e38e8dd995b2702f3c1a80f801953a542a0de17f980ec8cbbb32,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,信息系统开发设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
a2e03281b5016d5bca483f0004c56d1d8bfed7c26f40b8a40856bf2546508048,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,浮空器系统设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
7f3d2e46331407bd2562e35c47ee3c2f50ff4f210d659b838d2ee695a1f3e581,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,工艺设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
00705b2b0d6504208ed5f0ebe2462833e654a1dc35d5bef3ce678729293b6972,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,机电设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
6fe15b05fc91e2259139cf458d31ed015128092e4f211266e19e623758a2bfdd,2026-09-03 22:04:41,2026-09-03 22:04:41,现场招聘,中国电子科技集团公司第三十八研究所,2027届校园招聘简章,环控系统设计师,2026-08-28 12:29:42,2026-09-03,安徽省:合肥市,2026-09-03,14:00,16:00,【清】学生活动中心220,硕士、博士,,,,https://cetc38.zhaopin.com/,https://jiuye.uestc.edu.cn/career/recruitment/onsite/fw8992b33im9,verified,https://jiuye.uestc.edu.cn/career/recruitment/onsite,
